Hour,Low,High,Last,Weight Avg
00:00 - 00:30,124.97,98.71,108.51,"1,530.0"
00:30 - 01:00,121.64,119.98,114.77,"1,168.3"
01:00 - 01:30,123.07,118.19,115.49,"1,166.5"
01:30 - 02:00,135.78,122.68,117.52,"1,381.9"
02:00 - 02:30,120.56,110.00,114.07,"1,356.1"
02:30 - 03:00,118.51,115.01,111.14,"1,407.7"
03:00 - 03:30,126.00,125.97,114.06,"1,349.7"
03:30 - 04:00,126.47,125.00,114.75,"1,648.0"
04:00 - 04:30,118.98,116.01,112.62,"1,040.0"
04:30 - 05:00,117.07,113.01,113.16,"1,065.7"
05:00 - 05:30,129.34,106.98,114.10,960.7
05:30 - 06:00,121.28,108.55,113.87,"1,179.9"
06:00 - 06:30,151.98,130.00,138.38,"1,256.1"
06:30 - 07:00,150.96,146.68,138.41,"1,123.3"
07:00 - 07:30,150.00,148.00,141.74,"1,448.5"
07:30 - 08:00,154.49,150.00,148.03,"1,953.1"
08:00 - 08:30,155.00,146.28,144.68,"1,472.0"
08:30 - 09:00,158.70,151.98,148.98,"1,605.5"
09:00 - 09:30,160.00,157.51,150.06,"1,679.2"
09:30 - 10:00,172.32,168.00,151.53,"1,935.9"
10:00 - 10:30,170.07,155.26,153.78,"2,037.8"
10:30 - 11:00,161.50,150.00,150.55,"2,223.2"
11:00 - 11:30,157.09,144.00,144.23,"2,689.0"
11:30 - 12:00,152.14,110.00,124.16,"2,522.8"
12:00 - 12:30,136.46,98.00,110.08,"2,008.3"
12:30 - 13:00,127.97,104.99,104.97,"1,788.6"
13:00 - 13:30,127.70,123.00,110.99,"1,997.7"
13:30 - 14:00,117.04,92.00,105.58,"2,176.1"
14:00 - 14:30,123.97,120.00,110.64,"2,260.6"
14:30 - 15:00,153.52,114.00,112.30,"2,110.7"
15:00 - 15:30,116.56,96.50,105.63,"1,785.7"
15:30 - 16:00,120.26,106.00,106.19,"2,170.6"
16:00 - 16:30,118.54,94.00,105.51,"2,387.1"
16:30 - 17:00,130.00,96.01,106.81,"2,902.6"
17:00 - 17:30,153.01,113.99,120.71,"2,763.4"
17:30 - 18:00,146.29,116.02,130.97,"2,316.2"
18:00 - 18:30,225.22,121.68,139.92,"1,876.7"
18:30 - 19:00,160.12,132.47,142.38,"1,883.2"
19:00 - 19:30,156.69,132.00,141.36,"2,704.6"
19:30 - 20:00,159.53,143.00,145.45,"3,099.2"
20:00 - 20:30,152.00,139.77,143.89,"1,794.1"
20:30 - 21:00,164.56,156.98,144.98,"1,728.3"
21:00 - 21:30,155.06,155.00,140.79,"2,021.4"
21:30 - 22:00,136.07,117.00,125.76,"1,809.0"
22:00 - 22:30,131.03,117.38,120.30,"1,874.9"
22:30 - 23:00,133.00,112.01,123.43,"1,814.6"
23:00 - 23:30,131.07,112.00,117.00,"1,214.7"
23:30 - 24:00,128.52,114.64,116.49,"1,815.5"
