Hour,Low,High,Last,Weight Avg
00:00 - 00:30,158.71,131.00,127.68,"1,336.2"
00:30 - 01:00,137.24,134.00,126.87,"1,094.2"
01:00 - 01:30,137.95,134.70,130.87,974.9
01:30 - 02:00,169.60,141.75,135.29,905.9
02:00 - 02:30,155.37,144.18,136.76,971.4
02:30 - 03:00,151.72,148.01,136.52,"1,185.3"
03:00 - 03:30,160.04,139.00,140.89,"1,208.1"
03:30 - 04:00,143.74,135.01,136.34,"1,626.2"
04:00 - 04:30,138.49,130.00,132.78,"1,194.6"
04:30 - 05:00,143.34,143.34,130.31,"1,320.7"
05:00 - 05:30,164.10,164.10,140.30,"1,338.0"
05:30 - 06:00,155.96,149.98,135.47,"1,761.4"
06:00 - 06:30,167.68,131.45,148.83,"1,413.9"
06:30 - 07:00,169.99,152.61,150.56,"1,269.9"
07:00 - 07:30,175.99,149.00,159.24,"2,207.0"
07:30 - 08:00,192.43,176.99,172.93,"2,293.8"
08:00 - 08:30,169.00,162.00,154.83,"1,906.5"
08:30 - 09:00,168.01,160.00,153.11,"2,134.1"
09:00 - 09:30,169.18,167.00,155.37,"1,611.2"
09:30 - 10:00,165.73,154.99,156.15,"1,651.7"
10:00 - 10:30,167.00,134.95,143.66,"2,183.0"
10:30 - 11:00,159.19,112.50,129.69,"2,021.7"
11:00 - 11:30,148.99,114.00,121.00,"2,519.0"
11:30 - 12:00,127.57,100.04,113.73,"2,145.5"
12:00 - 12:30,119.07,98.99,105.43,"1,319.9"
12:30 - 13:00,112.03,87.00,99.79,"1,446.0"
13:00 - 13:30,110.96,82.72,95.55,"2,020.8"
13:30 - 14:00,108.98,108.00,99.64,"2,915.5"
14:00 - 14:30,103.55,85.00,92.04,"2,609.2"
14:30 - 15:00,116.00,113.00,99.41,"2,375.9"
15:00 - 15:30,108.00,85.00,95.66,"2,215.7"
15:30 - 16:00,110.99,74.00,93.26,"2,425.6"
16:00 - 16:30,116.95,80.00,98.39,"1,977.1"
16:30 - 17:00,116.32,85.01,98.43,"2,333.8"
17:00 - 17:30,123.37,92.22,100.48,"1,740.2"
17:30 - 18:00,134.90,116.00,112.67,"2,066.3"
18:00 - 18:30,163.81,134.00,136.85,"2,673.4"
18:30 - 19:00,169.93,159.82,140.07,"3,001.2"
19:00 - 19:30,175.00,164.00,152.42,"3,014.9"
19:30 - 20:00,172.00,168.50,155.86,"3,257.8"
20:00 - 20:30,172.23,166.94,145.19,"3,342.6"
20:30 - 21:00,180.18,158.17,139.06,"3,127.9"
21:00 - 21:30,133.39,120.00,120.27,"2,903.3"
21:30 - 22:00,120.20,100.40,110.32,"2,456.5"
22:00 - 22:30,126.84,93.38,107.19,"1,796.6"
22:30 - 23:00,114.02,79.38,91.31,"1,615.5"
23:00 - 23:30,120.42,80.92,103.68,"2,438.2"
23:30 - 24:00,99.20,79.99,75.14,"2,733.4"
